q4;q8;q13;q14;q15;q17;q23;cNotas
d;f;a;a;a;b;a;media                                                                                                                                                                                                                                                          
d;d;a;a;a;a;d;media                                                                                                                                                                                                                                                          
d;e;d;a;a;b;b;media                                                                                                                                                                                                                                                          
d;f;d;a;a;b;e;media                                                                                                                                                                                                                                                          
d;c;a;a;d;a;b;media                                                                                                                                                                                                                                                          
d;e;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
d;e;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
e;e;a;a;a;b;c;media                                                                                                                                                                                                                                                          
c;e;a;a;a;a;a;pessima                                                                                                                                                                                                                                                        
d;f;a;a;a;b;e;media                                                                                                                                                                                                                                                          
c;d;a;a;a;a;c;media                                                                                                                                                                                                                                                          
b;d;a;a;a;a;d;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;c;media                                                                                                                                                                                                                                                          
b;c;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
c;d;a;a;a;b;b;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;c;media                                                                                                                                                                                                                                                          
a;a;a;a;a;a;c;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;d;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;e;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;c;media                                                                                                                                                                                                                                                          
a;b;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
a;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
b;c;a;a;a;a;c;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;c;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;d;media                                                                                                                                                                                                                                                          
b;b;a;a;a;a;c;media                                                                                                                                                                                                                                                          
f;d;a;a;a;a;d;media                                                                                                                                                                                                                                                          
b;b;a;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;a;media                                                                                                                                                                                                                                                          
b;a;a;a;a;a;e;media                                                                                                                                                                                                                                                          
b;b;a;a;a;a;b;media                                                                                                                                                                                                                                                          
a;b;a;a;a;a;d;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;e;media                                                                                                                                                                                                                                                          
b;b;a;a;a;a;c;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
a;a;a;a;a;a;d;ruim                                                                                                                                                                                                                                                           
b;a;a;a;a;a;e;media                                                                                                                                                                                                                                                          
a;a;f;a;a;a;c;pessima                                                                                                                                                                                                                                                        
b;a;a;a;a;a;e;media                                                                                                                                                                                                                                                          
b;c;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
c;b;d;a;a;a;c;ruim                                                                                                                                                                                                                                                           
b;b;c;a;a;a;d;ruim                                                                                                                                                                                                                                                           
e;b;e;a;a;b;c;media                                                                                                                                                                                                                                                          
c;b;a;a;c;a;b;ruim                                                                                                                                                                                                                                                           
b;b;a;a;c;a;e;ruim                                                                                                                                                                                                                                                           
b;b;e;a;a;a;c;media                                                                                                                                                                                                                                                          
d;a;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
a;b;c;a;a;a;e;ruim                                                                                                                                                                                                                                                           
b;d;a;a;f;b;c;ruim                                                                                                                                                                                                                                                           
b;c;a;a;a;a;b;media                                                                                                                                                                                                                                                          
d;b;b;a;a;b;d;media                                                                                                                                                                                                                                                          
d;e;d;a;a;b;c;media                                                                                                                                                                                                                                                          
c;d;c;a;a;b;b;media                                                                                                                                                                                                                                                          
b;c;a;a;a;a;c;media                                                                                                                                                                                                                                                          
c;d;a;a;a;b;a;media                                                                                                                                                                                                                                                          
b;d;d;b;a;b;b;media                                                                                                                                                                                                                                                          
d;d;c;a;a;b;c;media                                                                                                                                                                                                                                                          
e;b;d;a;a;d;a;ruim                                                                                                                                                                                                                                                           
c;a;e;a;a;a;c;media                                                                                                                                                                                                                                                          
d;a;a;a;a;b;e;ruim                                                                                                                                                                                                                                                           
c;a;d;a;a;a;c;ruim                                                                                                                                                                                                                                                           
b;a;f;a;a;b;b;media                                                                                                                                                                                                                                                          
c;b;e;a;a;b;c;media                                                                                                                                                                                                                                                          
b;b;a;a;a;b;a;ruim                                                                                                                                                                                                                                                           
d;b;c;a;a;b;b;media                                                                                                                                                                                                                                                          
c;e;e;a;a;b;b;media                                                                                                                                                                                                                                                          
d;d;d;a;a;a;b;media                                                                                                                                                                                                                                                          
f;c;e;a;a;a;b;media                                                                                                                                                                                                                                                          
b;a;c;a;d;a;c;ruim                                                                                                                                                                                                                                                           
b;a;e;a;a;a;e;ruim                                                                                                                                                                                                                                                           
f;e;e;a;a;b;b;media                                                                                                                                                                                                                                                          
c;d;f;a;a;b;e;media                                                                                                                                                                                                                                                          
d;b;d;a;a;a;b;media                                                                                                                                                                                                                                                          
d;f;a;a;c;a;c;ruim                                                                                                                                                                                                                                                           
d;d;e;a;a;b;d;ruim                                                                                                                                                                                                                                                           
f;f;a;a;a;b;b;media                                                                                                                                                                                                                                                          
c;a;a;a;a;b;c;media                                                                                                                                                                                                                                                          
b;b;a;a;a;a;e;ruim                                                                                                                                                                                                                                                           
c;b;a;a;a;a;c;ruim                                                                                                                                                                                                                                                           
c;d;a;a;a;e;c;ruim                                                                                                                                                                                                                                                           
d;c;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
d;a;a;a;a;b;b;pessima                                                                                                                                                                                                                                                        
e;a;a;a;a;a;b;pessima                                                                                                                                                                                                                                                        
d;b;a;a;a;e;b;ruim                                                                                                                                                                                                                                                           
c;c;d;a;a;a;c;media                                                                                                                                                                                                                                                          
c;e;a;a;a;b;e;media                                                                                                                                                                                                                                                          
d;c;a;a;a;e;a;ruim                                                                                                                                                                                                                                                           
b;c;a;a;a;a;c;ruim                                                                                                                                                                                                                                                           
f;e;a;a;a;e;b;ruim                                                                                                                                                                                                                                                           
c;b;a;a;f;a;b;ruim                                                                                                                                                                                                                                                           
d;d;a;a;a;b;b;pessima                                                                                                                                                                                                                                                        
d;c;a;a;a;d;c;ruim                                                                                                                                                                                                                                                           
e;e;a;a;a;a;e;ruim                                                                                                                                                                                                                                                           
f;e;d;a;a;e;b;ruim                                                                                                                                                                                                                                                           
d;e;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
c;d;f;a;c;a;c;ruim                                                                                                                                                                                                                                                           
b;b;a;a;a;d;e;ruim                                                                                                                                                                                                                                                           
e;d;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
d;c;d;a;a;b;b;media                                                                                                                                                                                                                                                          
d;b;d;a;f;d;b;media                                                                                                                                                                                                                                                          
e;b;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
e;d;a;a;a;b;a;media                                                                                                                                                                                                                                                          
b;b;d;e;a;a;b;ruim                                                                                                                                                                                                                                                           
d;e;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
d;c;a;a;a;a;a;ruim                                                                                                                                                                                                                                                           
d;b;a;a;b;a;a;media                                                                                                                                                                                                                                                          
d;f;a;a;a;b;c;media                                                                                                                                                                                                                                                          
d;c;a;a;a;d;c;media                                                                                                                                                                                                                                                          
c;b;a;a;a;a;d;ruim                                                                                                                                                                                                                                                           
c;b;a;a;a;a;b;media                                                                                                                                                                                                                                                          
d;e;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
e;f;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
e;f;a;a;a;b;c;media                                                                                                                                                                                                                                                          
d;d;a;a;a;b;b;media                                                                                                                                                                                                                                                          
f;e;a;a;a;b;e;media                                                                                                                                                                                                                                                          
e;e;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
b;f;a;a;a;e;b;ruim                                                                                                                                                                                                                                                           
d;a;f;b;d;a;c;media                                                                                                                                                                                                                                                          
d;c;a;a;f;d;e;ruim                                                                                                                                                                                                                                                           
d;c;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
c;d;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
b;e;a;a;e;a;b;ruim                                                                                                                                                                                                                                                           
d;c;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
d;e;a;a;f;b;b;ruim                                                                                                                                                                                                                                                           
d;e;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
d;d;a;a;a;b;d;ruim                                                                                                                                                                                                                                                           
c;b;a;a;a;b;e;ruim                                                                                                                                                                                                                                                           
d;b;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
e;b;a;a;a;b;d;alta                                                                                                                                                                                                                                                           
e;f;a;a;a;b;c;media                                                                                                                                                                                                                                                          
e;e;d;a;a;b;b;ruim                                                                                                                                                                                                                                                           
d;b;a;a;a;a;c;ruim                                                                                                                                                                                                                                                           
c;c;a;a;a;b;a;ruim                                                                                                                                                                                                                                                           
f;e;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
e;e;f;a;a;b;c;ruim                                                                                                                                                                                                                                                           
e;g;a;a;a;b;c;media                                                                                                                                                                                                                                                          
d;d;d;e;a;b;b;media                                                                                                                                                                                                                                                          
d;f;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
b;d;a;a;a;a;c;alta                                                                                                                                                                                                                                                           
d;e;a;a;c;b;b;media                                                                                                                                                                                                                                                          
d;c;a;a;a;a;b;media                                                                                                                                                                                                                                                          
d;e;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
c;e;a;a;a;a;a;media                                                                                                                                                                                                                                                          
d;f;a;a;a;b;a;ruim                                                                                                                                                                                                                                                           
d;c;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
e;g;f;a;a;b;c;media                                                                                                                                                                                                                                                          
e;f;d;a;a;b;e;media                                                                                                                                                                                                                                                          
f;e;f;a;a;b;b;media                                                                                                                                                                                                                                                          
b;f;a;a;a;b;e;media                                                                                                                                                                                                                                                          
d;f;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
d;d;a;a;d;a;c;media                                                                                                                                                                                                                                                          
e;b;f;a;a;a;c;media                                                                                                                                                                                                                                                          
f;e;a;a;a;b;d;ruim                                                                                                                                                                                                                                                           
e;f;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
a;d;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
d;b;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
e;f;a;a;a;b;c;media                                                                                                                                                                                                                                                          
e;e;d;a;a;b;b;media                                                                                                                                                                                                                                                          
d;e;f;a;a;b;c;ruim                                                                                                                                                                                                                                                           
d;d;d;a;d;a;a;ruim                                                                                                                                                                                                                                                           
d;e;d;a;a;a;b;ruim                                                                                                                                                                                                                                                           
d;e;f;a;a;b;b;ruim                                                                                                                                                                                                                                                           
d;d;d;a;d;a;b;ruim                                                                                                                                                                                                                                                           
c;e;a;a;a;b;a;media                                                                                                                                                                                                                                                          
d;f;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
d;e;a;a;a;a;b;media                                                                                                                                                                                                                                                          
